Năm,Khu vực,TN 15-24,TN 25-49,TN 50+,TV 15-24,TV 25-49,TV 50+
2017,Đồng bằng sông Hồng,9.98,1.22,0.57,1.55,1.04,1.52
2017,Trung du và miền núi phía Bắc,3.28,0.53,0.25,2.33,1.19,0.49
2017,Bắc Trung Bộ và duyên hải miền Trung,8.45,1.5,0.7,2.97,1.58,1.27
2017,Tây Nguyên,2.98,0.49,0.66,2.8,1.35,0.64
2017,Đông Nam Bộ,7.88,1.81,1.57,0.53,0.46,0.73
2017,Đồng bằng sông Cửu Long,9.99,1.8,1.3,2.52,3.56,2.56
2016,Đồng bằng sông Hồng,9.69,1.32,0.65,1.83,0.89,1.13
2016,Trung du và miền núi phía Bắc,3.64,0.67,0.26,2.92,1.33,0.7
2016,Bắc Trung Bộ và duyên hải miền Trung,8.91,1.68,0.71,3.34,1.9,1.33
2016,Tây Nguyên,2.69,0.91,0.49,3.81,1.67,0.75
2016,Đông Nam Bộ,7.68,1.64,1.07,0.58,0.43,0.44
2016,Đồng bằng sông Cửu Long,9.27,1.93,1.53,3.15,3.23,2.22
2015,Đồng bằng sông Hồng,9.62,1.45,0.77,3.08,1.44,1.21
2015,Trung du và miền núi phía Bắc,2.95,0.7,0.29,2.94,1.28,0.73
2015,Bắc Trung Bộ và duyên hải miền Trung,8.26,1.67,0.66,4.12,2.38,1.9
2015,Tây Nguyên,2.47,0.66,0.47,3.4,1.39,0.57
2015,Đông Nam Bộ,8.02,1.7,1.67,0.92,0.42,0.42
2015,Đồng bằng sông Cửu Long,8.19,1.96,1.15,3.68,2.98,2.82
2014,Đồng bằng sông Hồng,9.3,1.38,8.37,3.44,2.25,2.89
2014,Trung du và miền núi phía Bắc,1.88,0.44,1.34,2.69,1.16,0.62
2014,Bắc Trung Bộ và duyên hải miền Trung,7.24,1.19,1.35,3.89,2.37,1.35
2014,Tây Nguyên,3.51,0.58,1.61,3.58,2.27,0.99
2014,Đông Nam Bộ,7.11,1.62,2.46,0.9,0.59,0
2014,Đồng bằng sông Cửu Long,6.77,1.23,1.01,4.35,4.24,2.82
