Khu vực,2013T,2013H,2014T,2014H,2015T,2015H,2016T,2016H,2017T,2017H
Đồng bằng sông Hồng,372,3103,395,3312,287,3399,311,3747,374,4577
Hà Nội,86,867,85,933,45,830,41,843,91,1182
Vĩnh Phúc,6,289,7,267,4,249,2,272,5,252
Bắc Ninh,8,102,..,147,1,132,5,146,18,184
Quảng Ninh,19,145,20,172,15,269,27,306,16,334
Hải Dương,42,220,60,273,66,272,72,306,34,375
Hải Pḥng,163,395,178,492,80,526,105,669,132,759
Hưng Yên,11,219,2,192,11,183,5,208,3,273
Thái B́nh,33,410,37,334,46,417,44,425,55,518
Hà Nam,1,90,5,104,3,73,2,85,6,110
Nam Định,3,311,1,311,14,343,6,367,10,444
Ninh B́nh,..,55,..,87,2,105,2,120,4,146
Trung du và miền núi phía Bắc,47,1609,52,1709,49,2008,72,2055,54,2399
Hà Giang,..,55,..,71,0,76,0,76,..,63
Cao Bằng,..,50,..,65,0,74,0,47,..,76
Bắc Kạn,1,53,1,30,1,47,0,27,1,40
Tuyên Quang,2,81,3,86,1,127,0,125,..,146
Lào Cai,..,69,..,76,0,108,0,94,..,132
Yên Bái,1,172,1,153,4,194,1,205,..,239
Thái Nguyên,14,206,10,261,16,223,22,292,23,295
Lạng Sơn,1,83,..,100,1,89,0,86,..,119
Bắc Giang,19,287,23,313,16,413,24,408,21,486
Phú Thọ,5,305,12,317,9,342,22,418,5,482
Điện Biên,..,46,..,56,0,83,0,61,..,72
Lai Châu,..,27,..,11,0,18,0,24,..,24
Sơn La,..,106,1,90,0,104,0,83,1,90
Ḥa B́nh,4,69,1,80,1,110,3,109,3,135
Bắc Trung Bộ và duyên hải miền Trung,237,2795,246,3004,229,3366,244,3873,287,4554
Thanh Hóa,..,460,..,423,2,435,2,582,4,681
Nghệ An,45,238,49,274,44,316,65,386,75,494
Hà Tĩnh,4,69,13,94,13,113,21,112,14,98
Quảng B́nh,8,129,10,116,11,147,10,158,13,209
Quảng Trị,..,56,1,42,3,59,0,61,1,66
Thừa Thiên - Huế,44,116,62,92,43,134,46,164,34,165
Đà Nẵng,66,213,36,233,38,262,19,330,13,360
Quảng Nam,8,167,2,210,1,232,2,270,5,270
Quảng Ngăi,..,187,..,157,0,203,0,206,2,213
B́nh Định,9,230,17,254,8,235,7,248,35,376
Phú Yên,13,200,16,213,14,245,18,215,6,254
Khánh Ḥa,27,381,30,481,34,463,39,534,46,659
Ninh Thuận,1,103,..,100,5,140,4,174,3,207
B́nh Thuận,12,246,10,315,13,382,11,433,36,502
Tây Nguyên,15,787,19,889,28,1101,10,1071,31,1156
Kon Tum,..,43,1,40,0,63,0,57,1,69
Gia Lai,1,133,..,200,0,240,0,183,2,231
Đắk Lắk,4,262,2,256,5,311,4,328,4,349
Đắk Nông,..,49,..,57,0,77,0,79,..,67
Lâm Đồng,10,300,16,336,23,410,6,424,24,440
Đông Nam Bộ,480,3134,490,3814,456,4830,549,4583,501,5185
B́nh Phước,4,257,4,322,4,359,4,361,6,403
Tây Ninh,31,463,15,494,19,702,53,595,57,588
B́nh Dương,16,347,20,370,11,469,16,443,25,459
Đồng Nai,34,632,63,707,75,962,130,994,58,1112
Bà Rịa - Vũng Tàu,27,209,49,296,40,400,20,391,35,423
TP. Hồ Chí Minh,368,1226,339,1625,307,1938,326,1799,320,2200
Đồng bằng sông Cửu Long,348,5381,350,5680,391,7957,479,7314,553,8277
Long An,18,616,24,626,11,896,16,855,26,950
Tiền Giang,16,812,12,852,7,1139,13,1127,15,1236
Bến Tre,4,549,15,591,21,722,19,741,22,695
Trà Vinh,27,193,48,251,39,283,33,312,49,425
Vĩnh Long,81,427,56,422,54,475,76,618,74,655
Đồng Tháp,3,293,1,340,3,491,1,411,25,460
An Giang,12,423,10,458,25,728,29,541,40,621
Kiên Giang,25,369,27,353,35,539,26,468,44,519
Cần Thơ,36,362,37,422,38,537,78,505,82,525
Hậu Giang,84,243,58,233,65,437,127,295,120,354
Sóc Trăng,26,234,39,259,41,344,38,310,14,405
Bạc Liêu,12,185,11,223,27,315,14,268,24,329
Cà Mau,4,675,12,650,25,1051,9,863,18,1103
